"tree_ids","Longitude","Latitude","Z"
1,13.3244876364994,52.5167505124886,10.726
2,13.3245475842731,52.5167243878771,10.914
3,13.324477009115,52.5166424680604,15.965
4,13.3244194549776,52.5166056884004,14.422
5,13.3246846032785,52.5166094428828,10.287
6,13.324464330213,52.5165883415491,14.484
7,13.3247890839696,52.5165749575138,12.96
8,13.324951118953,52.5165772514833,18.767
9,13.3247017268981,52.5165467472013,16.021
10,13.3248641036162,52.5165400549679,15.05
11,13.3247925025747,52.5164850942996,13.07
12,13.3249398068039,52.516487179729,14.14
13,13.3254269360791,52.5164671013721,13.195
14,13.3243824444304,52.516416349885,10.31
15,13.3242378762538,52.5163423732111,10.458
16,13.3241796387405,52.5163235660757,13.145
17,13.3254762531361,52.516332931912,19.427
18,13.3242262236425,52.516261287717,13.159
19,13.3240943345621,52.5162414374079,14.087
20,13.3241107748753,52.5161967144515,11.324
21,13.3254813788894,52.5161981370373,17.311
22,13.3247157437808,52.5161783080284,13.062
23,13.3258510037872,52.5161674027966,12.254
24,13.3251453155897,52.5161214512557,25.95
25,13.3250428870806,52.5161020190141,27.447
26,13.3245571293205,52.5160861505392,14.89
27,13.325014451918,52.5160746430013,28.008
28,13.3239843583682,52.516033082922,16.876
29,13.3239257793413,52.5160232619835,16.697
30,13.3244413385887,52.5160305639151,17.443
31,13.3240586937017,52.5160161535186,17.137
32,13.3251487334121,52.5160315880183,29.156
33,13.3259441684195,52.5160428446977,19.379
34,13.3241179567333,52.5160080017534,17.5
35,13.323897344929,52.5159958857081,15.476
36,13.3239709961896,52.515996928996,17.118
37,13.3258424230038,52.5160054404919,25.273
38,13.3240751339618,52.5159714305651,17.396
39,13.3259606067811,52.5159981214665,18.594
40,13.3240165549955,52.5159616096719,17.539
41,13.3249740210496,52.5159751678699,22.376
42,13.3250329420625,52.5159760019676,22.422
43,13.3238699366759,52.5159415504719,12.728
44,13.3257112172502,52.5159676193309,27.165
45,13.3261089342247,52.5159732464437,11.36
46,13.32521107219,52.515942558788,15.477
47,13.325682440082,52.5159492298018,27.749
48,13.3252850651634,52.515934614933,16.979
49,13.3247551184418,52.5159181218094,11.752
50,13.3263017938111,52.515940010001,20.241
51,13.3257718465418,52.5159235214275,29.611
52,13.324859255588,52.5158926226827,10.247
53,13.3263031599895,52.5159040646839,21.006
54,13.3254049574689,52.5158823648375,16.161
55,13.325302187646,52.5158719191484,14.06
56,13.3253611085306,52.5158727530816,15.849
57,13.3256704432224,52.51587713075,23.285
58,13.3238442387171,52.5158422836391,15.408
59,13.3251404970091,52.5158606393568,14.068
60,13.3254351013615,52.5158648091316,16.091
61,13.3249938784816,52.5158405815478,11.344
62,13.3263785188311,52.5158601748249,18.602
63,13.3237421535197,52.5158138639628,11.312
64,13.3239483761925,52.5158167853167,15.061
65,13.3248027276423,52.5158288842421,26.29
66,13.32580438184,52.5158430613378,25.024
67,13.325657421375,52.5158319906758,24.932
68,13.3262171694898,52.5158399101733,20.634
69,13.3262908205769,52.5158409520154,20.613
70,13.3260410900928,52.5158194369088,20.539
71,13.3258793994364,52.5158081581269,20.447
72,13.3254087164575,52.5157835152592,15.703
73,13.3241422625933,52.5157565934439,10.837
74,13.3255858204641,52.5157770304827,11.101
75,13.3264401718573,52.5157891175818,17.435
76,13.3253652093503,52.5157649171801,16.205
77,13.3237599622656,52.5157331957824,15.32
78,13.3239665265814,52.5157271307833,15.246
79,13.3248650668195,52.5157398551946,12.314
80,13.3254248135371,52.5157477784298,12.585
81,13.326382275632,52.5157613251971,16.373
82,13.3265001171733,52.5157629919564,18.325
83,13.3265737681425,52.5157640336214,19.457
84,13.3263534983128,52.5157429358294,19.323
85,13.3240117430976,52.5157007977763,15.369
86,13.3247335208538,52.5157110192842,15.528
87,13.3239384343547,52.5156907681991,17.056
88,13.3241004660152,52.5156930633064,11.8
89,13.3242624976975,52.5156953581919,13.175
90,13.3236448576432,52.5156596357562,14.032
91,13.3237332384705,52.5156608878791,12.956
92,13.3239100001445,52.515663391927,16.779
93,13.3248379993601,52.5156765338488,13.788
94,13.3263993964831,52.5156986292383,20.983
95,13.3265614283761,52.5157009209768,18.949
96,13.3239987230027,52.5156556575329,13.683
97,13.3244998897311,52.5156537642046,12.202
98,13.3263558890324,52.5156800315205,21.04
99,13.326503190687,52.5156821149819,18.81
100,13.323646225976,52.5156236904861,13.537
101,13.3251339695554,52.5156447590691,10.706
102,13.32370583062,52.5156065526053,13.231
103,13.3235883317598,52.5155958967501,14.184
104,13.3264315889486,52.5156271552925,14.812
105,13.3247677671472,52.5155856278781,14.109
106,13.3255190035551,52.5155962616821,16.506
107,13.3248417595931,52.5155776842956,11.14
108,13.3254309644952,52.515586024568,16.114
109,13.3235163917284,52.5155499216445,14.021
110,13.3237376853072,52.5155440657453,15.403
111,13.3259177419949,52.5155749304292,26.749
112,13.3255354421704,52.515551538509,16.955
113,13.3267138519813,52.5155682092091,13.347
114,13.3239007425011,52.5155194021665,19.331
115,13.3247698182653,52.5155317099414,15.953
116,13.3243577173878,52.5155168834379,14.628
117,13.3266408842766,52.5155491949712,11.839
118,13.323784269981,52.515481787551,15.249
119,13.3247859157648,52.515495973201,15.981
120,13.325316199165,52.5155034798202,14.643
121,13.3255371506508,52.5155066068772,12.378
122,13.3240353653521,52.5154673621189,11.671
123,13.3254347233853,52.5154871749833,15.609
124,13.3263037991945,52.5154994714891,28.465
125,13.3251993836824,52.5154748529132,15.247
126,13.3253617563841,52.5154681599621,14.417
127,13.3244046430866,52.5154456186704,16.546
128,13.3251264168064,52.5154558377478,15.018
129,13.3253031777834,52.5154583397082,14.349
130,13.3268498374414,52.5154802206049,12.593
131,13.323403340773,52.5154224434864,10.592
132,13.3234917211134,52.5154236957857,12.199
133,13.3263051653496,52.5154635261693,28.397
134,13.3237719342892,52.5154186746467,15.659
135,13.3240079572423,52.5154130269113,17.496
136,13.3249064910923,52.5154257509553,17.238
137,13.3250096015771,52.5154272106553,16.557
138,13.324818452525,52.5154155133891,17.991
139,13.3242148619949,52.5153979751457,18.937
140,13.3267778941468,52.5154342474548,35.246
141,13.3233755913382,52.5153770944555,11.776
142,13.3240679034566,52.5153869025243,16.438
143,13.3266751250149,52.5154238029634,36.138
144,13.3267193152596,52.5154244278998,36.309
145,13.3243628464129,52.5153820886216,16.011
146,13.3263219446507,52.5154098165487,27.826
147,13.3235235759651,52.5153612089829,17.273
148,13.3236708763404,52.5153632959605,11.516
149,13.3246725193718,52.5153774825479,15.381
150,13.324937660314,52.5153812364026,13.609
151,13.3255415926787,52.5153897846327,14.151
152,13.3234355378711,52.5153509703914,12.07
153,13.3240100092777,52.5153591089939,15.581
154,13.3253651736844,52.5153782967047,14.133
155,13.325954717686,52.515377648021,26.747
156,13.3234218342142,52.5153238027218,12.296
157,13.3241436055755,52.5153340277763,14.183
158,13.324541316511,52.5153396601097,14.026
159,13.3244094300316,52.5153198101707,15.122
160,13.3246009204298,52.5153225217711,15.958
161,13.32471876069,52.5153241902943,17.066
162,13.3268988075879,52.5153550368177,36.928
163,13.3242922736962,52.5153001686976,18.409
164,13.3252055354077,52.5153130990625,12.809
165,13.3263250184524,52.5153289395767,28.418
166,13.324248425587,52.5152905565353,18.155
167,13.3246019460821,52.5152955628039,15.425
168,13.3235269970022,52.5152713458084,14.545
169,13.3241018093828,52.5152704976382,13.833
170,13.3243816796178,52.5152744613669,16.484
171,13.3261345525721,52.5152992717773,17.226
172,13.3260023238575,52.515288409938,17.285
173,13.3244412835081,52.5152573231083,13.226
174,13.3250452140207,52.5152658738572,19.472
175,13.3259735470037,52.5152700204804,15.623
176,13.3269751890919,52.5152841875628,11.802
177,13.3232782976829,52.5152228659552,11.198
178,13.3242946673211,52.5152372644502,18.872
179,13.3256056381244,52.5152558235366,13.084
180,13.326342139203,52.5152662436211,32.079
181,13.3244128492564,52.5152299469549,14.533
182,13.3251198894372,52.5152399574461,14.312
183,13.3246783311429,52.515224715061,15.454
184,13.3240305533312,52.5152065502025,15.566
185,13.3270649348408,52.5152494918575,16.301
186,13.3237952155819,52.5151942253547,15.725
187,13.3252387547673,52.5152146664745,11.395
188,13.3253271347738,52.5152159173998,13.538
189,13.3256217348423,52.5152200866744,11.857
190,13.3245471287292,52.5151868926321,13.854
191,13.3248862602805,52.5151827031417,16.669
192,13.3251072101087,52.5151858309881,16.871
193,13.3255343798919,52.5151918769885,12.522
194,13.3255932998739,52.5151927107986,11.55
195,13.3263592599028,52.515203547662,28.472
196,13.3270221103216,52.5152129217171,18.054
197,13.3259913514272,52.5151893519211,14.405
198,13.3243124747998,52.5151565961687,12.459
199,13.3263897444674,52.5151770053731,28.428
200,13.3243720785558,52.5151394579436,13.259
201,13.3270676658813,52.5151776011866,15.89
202,13.3245049901845,52.5151323489535,15.039
203,13.3251678389044,52.5151417333847,18.403
204,13.3252418305361,52.5151337895445,17.8
205,13.3257868396798,52.5151415025107,16.674
206,13.3242552646682,52.515110830116,15.905
207,13.3254778518386,52.5151281388624,13.787
208,13.3263914520533,52.5151320737188,10.377
209,13.3248746067328,52.5151016176887,14.855
210,13.3243446702238,52.5150851228093,14.421
211,13.3260533456957,52.5151093085399,14.47
212,13.3271139041066,52.5151243079693,16.068
213,13.324433733761,52.5150684017562,16.146
214,13.324581716996,52.5150525149476,12.301
215,13.3242583422312,52.5150299532252,10.655
216,13.3271601422189,52.5150710147326,17.793
217,13.325171940089,52.5150338974804,16.001
218,13.3253634293189,52.5150366078369,16.003
219,13.3243775493931,52.5149956767958,11.352
220,13.3270289380669,52.5150331950408,11.708
221,13.324318971649,52.514985856061,11.62
222,13.3259694066998,52.5149912358807,12.478
223,13.3249239238451,52.5149674484302,27.12
224,13.3270450335487,52.5149974579734,32.043
225,13.3271628730864,52.514999124056,31.397
226,13.3252777836111,52.5149634663338,11.493
227,13.3253815764746,52.5149469530483,12.368
228,13.3260296927814,52.5149561241542,14.321
229,13.3248074518778,52.5149298348235,28.758
230,13.3230696668855,52.5148962273269,12.538
231,13.3245279256659,52.5149168857971,20.047
232,13.3251907711513,52.5149262700731,15.669
233,13.3272676893726,52.5149556501063,33.15
234,13.3254857109612,52.5149214533441,17.999
235,13.3244255002311,52.5148974530428,18.55
236,13.3252359861129,52.5148999365817,16.767
237,13.3257515325581,52.5149072326979,20.188
238,13.3253247072193,52.5148922011776,15.113
239,13.325530925744,52.5148951197386,19.075
240,13.3272690547144,52.5149197047655,33.191
241,13.3248389626673,52.5148763339671,28.729
242,13.3254281581875,52.5148846741761,17.603
243,13.3251051259435,52.5148531284478,13.774
244,13.3241778278771,52.5148220161212,11.185
245,13.325562435633,52.5148416186816,15.663
246,13.3258128435889,52.5148451620964,13.615
247,13.3260485217128,52.5148484965912,14.374
248,13.3274625914259,52.5148684937079,12.355
249,13.3252976395903,52.514828879927,14.249
250,13.3254449383191,52.514830964682,15.519
251,13.3275221935989,52.5148513538816,13.32
252,13.3228826274715,52.5147766911664,12.406
253,13.3235602001347,52.5147862933411,11.674
254,13.3251952140048,52.5148094478377,13.799
255,13.3250482571535,52.5147983764473,14.877
256,13.3260204283001,52.5148121344864,14.665
257,13.3274344968257,52.5148321319292,14.362
258,13.3251527332382,52.5147638907087,11.742
259,13.3260659842328,52.5147768143425,14.544
260,13.3274947815352,52.5147970194437,13.309
261,13.3269943071823,52.5147809528719,37.029
262,13.3266705915697,52.5147673840815,11.619
263,13.3230768528665,52.5147075146875,12.486
264,13.3269360705114,52.5147621470958,37.008
265,13.3228267882817,52.5146949791753,10.905
266,13.3243881490088,52.5147171008108,16.695
267,13.3267743834745,52.5147508695655,36.945
268,13.3268480327617,52.5147519110459,36.329
269,13.3274814168181,52.514760865886,12.154
270,13.327040203689,52.5147366460116,32.373
271,13.3255531726961,52.5146976289875,11.805
272,13.3258624991661,52.5147020060859,17.92
273,13.3231087077634,52.5146450279897,12.012
274,13.3229764818319,52.5146341627903,12.262
275,13.3259077134985,52.5146756723316,17.93
276,13.3242439282858,52.5146341378482,12.966
277,13.3257169090817,52.5146549902117,20.986
278,13.3260556949201,52.514659783663,14.763
279,13.326895295018,52.5146716589076,12.075
280,13.3229038595531,52.5146061599554,14.405
281,13.3270576645497,52.5146649636014,32.22
282,13.3230956888843,52.5145998876495,12.788
283,13.3229781928658,52.5145892312102,13.736
284,13.3256000955682,52.514626363713,16.062
285,13.3231258327949,52.5145823325285,12.829
286,13.3249081366733,52.5146075783802,15.772
287,13.3250119288264,52.5145910654123,15.91
288,13.323127201498,52.5145463872615,12.729
289,13.3242466638695,52.5145622472733,17.286
290,13.3229360568323,52.5145346869886,12.488
291,13.3241295096181,52.5145426056541,11.109
292,13.3245419431778,52.5145484465548,14.824
293,13.325101674664,52.5145563711934,12.775
294,13.3261033000792,52.5145705455208,14.476
295,13.3275615503371,52.5145911665247,10.875
296,13.3278122983451,52.5145857193599,13.419
297,13.3249557440888,52.5145183407179,12.802
298,13.3250591942331,52.5145108140318,15.43
299,13.3265623140315,52.5145141002064,15.334
300,13.3245597498976,52.5144677782209,20.081
301,13.3254736778686,52.5144627337244,14.832
302,13.3265047608716,52.5144773215566,16.544
303,13.3244723971266,52.5144395677656,20.16
304,13.3250763164376,52.5144481182634,15.866
305,13.327771862427,52.5144862451192,10.385
306,13.3258573346871,52.5144501804514,13.446
307,13.3260635511986,52.5144530980673,16.235
308,13.3264023355443,52.5144578905136,10.853
309,13.3247234863547,52.5144251408192,14.494
310,13.3248707836902,52.5144272262776,13.482
311,13.3280232921727,52.5144628248247,11.144
312,13.3276848487535,52.5144490506801,11.317
313,13.3252105928774,52.5144050631568,17.182
314,13.3252551238066,52.5143967023048,16.161
315,13.3260799888098,52.514408374802,15.862
316,13.3280537752212,52.5144362820913,11.41
317,13.3245785821808,52.5143601509116,20.327
318,13.3248142575613,52.5143634878428,13.306
319,13.3249026358408,52.514364739071,13.217
